,training_size,allowed_FN,init_included_papers,dataset
1068,50,1,10,ptsd
1069,250,7,10,ptsd
1070,50,1,20,ptsd
1071,300,7,10,ptsd
1072,300,4,10,ptsd
1073,350,9,10,ptsd
1074,200,1,20,ptsd
1075,350,0,20,ptsd
1076,50,7,10,ptsd
1077,350,2,10,ptsd
1078,100,0,15,ptsd
1079,150,8,10,ptsd
1080,200,8,10,ptsd
1081,300,1,15,ptsd
1082,150,6,10,ptsd
1083,350,1,20,ptsd
1084,100,0,20,ptsd
1085,400,6,10,ptsd
1086,400,0,15,ptsd
1087,500,0,20,ptsd
1088,450,0,10,ptsd
1089,400,3,10,ptsd
1090,400,0,10,ptsd
1091,250,9,10,ptsd
1092,200,9,10,ptsd
1093,400,8,10,ptsd
1094,450,6,10,ptsd
1095,400,1,15,ptsd
1096,200,0,20,ptsd
1097,50,5,10,ptsd
1098,250,0,20,ptsd
1099,350,0,10,ptsd
1100,450,1,10,ptsd
1101,100,7,10,ptsd
1102,100,4,10,ptsd
1103,150,0,10,ptsd
1104,300,0,10,ptsd
1105,450,7,10,ptsd
1106,50,3,10,ptsd
1107,100,9,10,ptsd
1108,200,1,15,ptsd
1109,500,0,15,ptsd
1110,150,1,15,ptsd
1111,250,1,20,ptsd
1112,300,0,15,ptsd
1113,350,1,10,ptsd
1114,100,1,15,ptsd
1115,450,0,20,ptsd
1116,500,4,10,ptsd
1117,300,1,10,ptsd
1118,350,0,15,ptsd
1119,250,8,10,ptsd
1120,200,3,10,ptsd
1121,200,0,10,ptsd
1122,400,4,10,ptsd
1123,350,1,15,ptsd
1124,300,8,10,ptsd
1125,350,6,10,ptsd
1126,50,0,15,ptsd
1127,100,1,10,ptsd
1128,100,6,10,ptsd
1129,450,5,10,ptsd
1130,50,2,10,ptsd
1131,100,8,10,ptsd
1132,400,5,10,ptsd
1133,300,9,10,ptsd
1134,350,7,10,ptsd
1135,150,0,15,ptsd
1136,200,0,15,ptsd
1137,500,6,10,ptsd
1138,250,5,10,ptsd
1139,250,6,10,ptsd
1140,50,0,20,ptsd
1141,500,1,20,ptsd
1142,200,5,10,ptsd
1143,200,2,10,ptsd
1144,150,5,10,ptsd
1145,450,2,10,ptsd
1146,500,8,10,ptsd
1147,150,1,20,ptsd
1148,150,3,10,ptsd
1149,350,4,10,ptsd
1150,500,7,10,ptsd
1151,50,4,10,ptsd
1152,50,9,10,ptsd
1153,100,3,10,ptsd
1154,100,0,10,ptsd
1155,450,3,10,ptsd
1156,500,9,10,ptsd
1157,100,5,10,ptsd
1158,100,1,20,ptsd
1159,450,0,15,ptsd
1160,500,1,10,ptsd
1161,500,1,15,ptsd
1162,300,6,10,ptsd
1163,350,5,10,ptsd
1164,350,8,10,ptsd
1165,400,1,20,ptsd
1166,350,3,10,ptsd
1167,250,4,10,ptsd
1168,200,7,10,ptsd
1169,200,4,10,ptsd
1170,150,0,20,ptsd
1171,150,4,10,ptsd
1172,250,2,10,ptsd
1173,200,1,10,ptsd
1174,150,1,10,ptsd
1175,150,2,10,ptsd
1176,250,1,15,ptsd
1177,300,0,20,ptsd
1178,50,8,10,ptsd
1179,100,2,10,ptsd
1180,400,2,10,ptsd
1181,450,9,10,ptsd
1182,500,0,10,ptsd
1183,400,9,10,ptsd
1184,500,3,10,ptsd
1185,250,3,10,ptsd
1186,300,3,10,ptsd
1187,300,1,20,ptsd
1188,500,5,10,ptsd
1189,300,5,10,ptsd
1190,400,0,20,ptsd
1191,200,6,10,ptsd
1192,150,9,10,ptsd
1193,50,1,15,ptsd
1194,250,0,10,ptsd
1195,150,7,10,ptsd
1196,450,4,10,ptsd
1197,450,1,20,ptsd
1198,50,0,10,ptsd
1199,400,7,10,ptsd
1200,250,0,15,ptsd
1201,50,6,10,ptsd
1202,400,1,10,ptsd
1203,450,8,10,ptsd
1204,500,2,10,ptsd
1205,450,1,15,ptsd
1206,250,1,10,ptsd
1207,300,2,10,ptsd
1208,50,1,10,ptsd
1209,250,7,10,ptsd
1210,50,1,20,ptsd
1211,300,7,10,ptsd
1212,300,4,10,ptsd
1213,350,9,10,ptsd
1214,200,1,20,ptsd
1215,350,0,20,ptsd
1216,50,7,10,ptsd
1217,350,2,10,ptsd
1218,100,0,15,ptsd
1219,150,8,10,ptsd
1220,200,8,10,ptsd
1221,300,1,15,ptsd
1222,150,6,10,ptsd
1223,350,1,20,ptsd
1224,100,0,20,ptsd
1225,400,6,10,ptsd
1226,400,0,15,ptsd
1227,500,0,20,ptsd
1228,450,0,10,ptsd
1229,400,3,10,ptsd
1230,400,0,10,ptsd
1231,250,9,10,ptsd
1232,200,9,10,ptsd
1233,400,8,10,ptsd
1234,450,6,10,ptsd
1235,400,1,15,ptsd
1236,200,0,20,ptsd
1237,50,5,10,ptsd
1238,250,0,20,ptsd
1239,350,0,10,ptsd
1240,450,1,10,ptsd
1241,100,7,10,ptsd
1242,100,4,10,ptsd
1243,150,0,10,ptsd
1244,300,0,10,ptsd
1245,450,7,10,ptsd
1246,50,3,10,ptsd
1247,100,9,10,ptsd
1248,200,1,15,ptsd
1249,500,0,15,ptsd
1250,150,1,15,ptsd
1251,250,1,20,ptsd
1252,300,0,15,ptsd
1253,350,1,10,ptsd
1254,100,1,15,ptsd
1255,450,0,20,ptsd
1256,500,4,10,ptsd
1257,300,1,10,ptsd
1258,350,0,15,ptsd
1259,250,8,10,ptsd
1260,200,3,10,ptsd
1261,200,0,10,ptsd
1262,400,4,10,ptsd
1263,350,1,15,ptsd
1264,300,8,10,ptsd
1265,350,6,10,ptsd
1266,50,0,15,ptsd
1267,100,1,10,ptsd
1268,100,6,10,ptsd
1269,450,5,10,ptsd
1270,50,2,10,ptsd
1271,100,8,10,ptsd
1272,400,5,10,ptsd
1273,300,9,10,ptsd
1274,350,7,10,ptsd
1275,150,0,15,ptsd
1276,200,0,15,ptsd
1277,500,6,10,ptsd
1278,250,5,10,ptsd
1279,250,6,10,ptsd
1280,50,0,20,ptsd
1281,500,1,20,ptsd
1282,200,5,10,ptsd
1283,200,2,10,ptsd
1284,150,5,10,ptsd
1285,450,2,10,ptsd
1286,500,8,10,ptsd
1287,150,1,20,ptsd
1288,150,3,10,ptsd
1289,350,4,10,ptsd
1290,500,7,10,ptsd
1291,50,4,10,ptsd
1292,50,9,10,ptsd
1293,100,3,10,ptsd
1294,100,0,10,ptsd
1295,450,3,10,ptsd
1296,500,9,10,ptsd
1297,100,5,10,ptsd
1298,100,1,20,ptsd
1299,450,0,15,ptsd
1300,500,1,10,ptsd
1301,500,1,15,ptsd
1302,300,6,10,ptsd
1303,350,5,10,ptsd
1304,350,8,10,ptsd
1305,400,1,20,ptsd
1306,350,3,10,ptsd
1307,250,4,10,ptsd
1308,200,7,10,ptsd
1309,200,4,10,ptsd
1310,150,0,20,ptsd
1311,150,4,10,ptsd
1312,250,2,10,ptsd
1313,200,1,10,ptsd
1314,150,1,10,ptsd
1315,150,2,10,ptsd
1316,250,1,15,ptsd
1317,300,0,20,ptsd
1318,50,8,10,ptsd
1319,100,2,10,ptsd
1320,400,2,10,ptsd
1321,450,9,10,ptsd
1322,500,0,10,ptsd
1323,400,9,10,ptsd
1324,500,3,10,ptsd
1325,250,3,10,ptsd
1326,300,3,10,ptsd
1327,300,1,20,ptsd
1328,500,5,10,ptsd
1329,300,5,10,ptsd
1330,400,0,20,ptsd
1331,200,6,10,ptsd
1332,150,9,10,ptsd
1333,50,1,15,ptsd
1334,250,0,10,ptsd
1335,150,7,10,ptsd
1336,450,4,10,ptsd
1337,450,1,20,ptsd
1338,50,0,10,ptsd
1339,400,7,10,ptsd
1340,250,0,15,ptsd
1341,50,6,10,ptsd
1342,400,1,10,ptsd
1343,450,8,10,ptsd
1344,500,2,10,ptsd
1345,450,1,15,ptsd
1346,250,1,10,ptsd
1347,300,2,10,ptsd
1348,50,1,10,ptsd
1349,250,7,10,ptsd
1350,50,1,20,ptsd
1351,300,7,10,ptsd
1352,300,4,10,ptsd
1353,350,9,10,ptsd
1354,200,1,20,ptsd
1355,350,0,20,ptsd
1356,50,7,10,ptsd
1357,350,2,10,ptsd
1358,100,0,15,ptsd
1359,150,8,10,ptsd
1360,200,8,10,ptsd
1361,300,1,15,ptsd
1362,150,6,10,ptsd
1363,350,1,20,ptsd
1364,100,0,20,ptsd
1365,400,6,10,ptsd
1366,400,0,15,ptsd
1367,500,0,20,ptsd
1368,450,0,10,ptsd
1369,400,3,10,ptsd
1370,400,0,10,ptsd
1371,250,9,10,ptsd
1372,200,9,10,ptsd
1373,400,8,10,ptsd
1374,450,6,10,ptsd
1375,400,1,15,ptsd
1376,200,0,20,ptsd
1377,50,5,10,ptsd
1378,250,0,20,ptsd
1379,350,0,10,ptsd
1380,450,1,10,ptsd
1381,100,7,10,ptsd
1382,100,4,10,ptsd
1383,150,0,10,ptsd
1384,300,0,10,ptsd
1385,450,7,10,ptsd
1386,50,3,10,ptsd
1387,100,9,10,ptsd
1388,200,1,15,ptsd
1389,500,0,15,ptsd
1390,150,1,15,ptsd
1391,250,1,20,ptsd
1392,300,0,15,ptsd
1393,350,1,10,ptsd
1394,100,1,15,ptsd
1395,450,0,20,ptsd
1396,500,4,10,ptsd
1397,300,1,10,ptsd
1398,350,0,15,ptsd
1399,250,8,10,ptsd
